Index,Product,Platform,Title,Price,Rating,Country.of.origin,Stock,Units.Sold,Product.url
22,Amazon Echo Gen 3,QOO10,AmazonAmazon Echo Dot (3rd Gen) - Smart speaker with Alexa - Plum,111,0,China,NA,90,https://www.qoo10.sg/item/AMAZON-AMAZON-ECHO-DOT-3RD-GEN-SMART-SPEAKER-WITH-ALEXA-PLUM/676403792
23,Amazon Echo Gen 3,Shopee,AMAZON - Echo Dot (3rd gen) Smart Speaker with Clock - Sandstone,115,NA,China,3,61,https://shopee.sg/AMAZON-Echo-Dot-(3rd-gen)-Smart-Speaker-with-Clock-Sandstone-i.172341161.5215084351
24,Amazon Echo Gen 3,QOO10,Amazon Echo Dot 3rd Gen Smart Speaker with Alexa (Charcoal/Sandstone/Heather Grey),124.18,0,China,NA,85,https://www.qoo10.sg/item/AMAZON-ECHO-DOT-3RD-GEN-SMART-SPEAKER-WITH-ALEXA-CHARCOAL-SANDSTONE/663963333
25,Amazon Echo Gen 3,QOO10,Amazon Echo Dot 3rd Gen Smart Speaker with Alexa (Charcoal/Sandstone/Heather Grey),124.18,0,United States,NA,83,https://www.qoo10.sg/item/AMAZON-ECHO-DOT-3RD-GEN-SMART-SPEAKER-WITH-ALEXA-CHARCOAL-SANDSTONE/566653740
26,Amazon Echo Gen 3,QOO10,AmazonAmazon Echo Dot (3rd Gen) - Smart speaker with clock and Alexa - Sandstone,130,0,Chile,NA,74,https://www.qoo10.sg/item/AMAZON-AMAZON-ECHO-DOT-3RD-GEN-SMART-SPEAKER-WITH-CLOCK-AND-ALEXA-SANDSTONE/676403794
27,Amazon Echo Gen 3,QOO10,AmazonAmazon Echo (3rd Gen)- Smart speaker with Alexa- Charcoal,130,0,China,NA,44,https://www.qoo10.sg/item/AMAZON-AMAZON-ECHO-3RD-GEN-SMART-SPEAKER-WITH-ALEXA-CHARCOAL/676403777
28,Amazon Echo Gen 3,Lazada,All-new Echo 3 Echo 3rd Gen - Smart speaker with Alexa,138.9,4.9,Chile,0,61,https://www.lazada.sg/products/all-new-echo-3-echo-3rd-gen-smart-speaker-with-alexa-i469798971-s1532394189.html?search=1
29,Amazon Echo Gen 3,EZBUY,Amazon Echo (3rd Gen) - Smart speaker with Alexa,139,NA,China,NA,61,https://ezbuy.sg/product/468313268.html?keywords=Amazon%20echo%203rd%20gen&baseGpid=468313268&pl=1&ezspm=1.20000000.22.0.0
30,Amazon Echo Gen 3,Shopee,All-new Echo 3 Echo 3rd Gen - Smart speaker with Alexa,139.99,5,China,1,37,https://shopee.sg/All-new-Echo-3-Echo-3rd-Gen-Smart-speaker-with-Alexa-i.1702198.3404054320
31,Amazon Echo Gen 3,Shopee,All-new Echo 3 Echo 3rd Gen - Smart speaker with Alexa,140.05,5,Vietnam,5,55,https://shopee.sg/All-new-Echo-3-Echo-3rd-Gen-Smart-speaker-with-Alexa-i.28748863.6113396302
32,Amazon Echo Gen 3,Lazada,All-new Echo (3rd Gen) - Smart speaker with Alexa,146.9,4.7,United States,2,37,https://www.lazada.sg/products/all-new-echo-3rd-gen-smart-speaker-with-alexa-i123759212-s1791164875.html?search=1
33,Amazon Echo Gen 3,Shopee,Echo Dot (3rd Gen) - Smart speaker with Alexa - Voice Assistant,149,5,Colombia,8,45,https://shopee.sg/Echo-Dot-(3rd-Gen)-Smart-speaker-with-Alexa-Voice-Assistant-i.147331037.2232659161
34,Amazon Echo Gen 3,Shopee,ECHO 3RD GEN. SMART SPEAKER W/ALEXA CHARCOAL (USA SET),150,NA,United States,10,50,https://shopee.sg/ECHO-3RD-GEN.-SMART-SPEAKER-W-ALEXA-CHARCOAL-(USA-SET)-i.62409413.7051314401
35,Amazon Echo Gen 3,Shopee,Amazon Echo (3rd Gen) - Smart speaker with Alexa,159,NA,China,10,37,https://shopee.sg/Amazon-Echo-(3rd-Gen)-Smart-speaker-with-Alexa-i.3300935.4217207107
36,Amazon Echo Gen 3,QOO10,AmazonAmazon - Echo (3rd Gen) Smart Speaker with Alexa - Twilight Blue,164.38,0,Singapore,NA,44,https://www.qoo10.sg/item/AMAZON-AMAZON-ECHO-3RD-GEN-SMART-SPEAKER-WITH-ALEXA-TWILIGHT-BLUE/677438894
37,Amazon Echo Gen 3,QOO10,AmazonAmazon - Echo (3rd Gen) Smart Speaker with Alexa - Heather Gray,164.38,0,Mexico,NA,35,https://www.qoo10.sg/item/AMAZON-AMAZON-ECHO-3RD-GEN-SMART-SPEAKER-WITH-ALEXA-HEATHER-GRAY/677438892
38,Amazon Echo Gen 3,QOO10,AmazonAmazon - Echo (3rd Gen) Smart Speaker with Alexa - Sandstone,164.38,0,United States,NA,32,https://www.qoo10.sg/item/AMAZON-AMAZON-ECHO-3RD-GEN-SMART-SPEAKER-WITH-ALEXA-SANDSTONE/677438891
39,Amazon Echo Gen 3,QOO10,AmazonAmazon - Echo (3rd Gen) Smart Speaker with Alexa - Twilight Blue,164.38,0,China,NA,27,https://www.qoo10.sg/item/AMAZON-AMAZON-ECHO-3RD-GEN-SMART-SPEAKER-WITH-ALEXA-TWILIGHT-BLUE/677438784
40,Amazon Echo Gen 3,QOO10,AmazonAmazon - Echo (3rd Gen) Smart Speaker with Alexa - Heather Gray,164.38,0,United States,NA,47,https://www.qoo10.sg/item/AMAZON-AMAZON-ECHO-3RD-GEN-SMART-SPEAKER-WITH-ALEXA-HEATHER-GRAY/677438781
41,Amazon Echo Gen 3,QOO10,AmazonAmazon - Echo (3rd Gen) Smart Speaker with Alexa - Sandstone,164.38,0,India,NA,31,https://www.qoo10.sg/item/AMAZON-AMAZON-ECHO-3RD-GEN-SMART-SPEAKER-WITH-ALEXA-SANDSTONE/677438780
42,Amazon Echo Gen 3,Lazada,Amazon Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal,169.27,0,China,9,31,https://www.lazada.sg/products/amazon-echo-dot-3rd-gen-smart-speaker-with-alexa-charcoal-i1030710039-s3807408608.html?search=1
43,Amazon Echo Gen 3,Lazada,AMAZON ECHO SPEAKER 3RD GEN CHARCOAL W/ALEXA (USA SET),179,0,Malaysia,10,26,https://www.lazada.sg/products/amazon-echo-speaker-3rd-gen-charcoal-walexa-usa-set-i673134597-s3356794441.html?search=1
44,Amazon Echo Gen 3,Lazada,"GGMM Alexa Speaker Dedicated for Amazon Echo Dot 3rd Gen, 5200mAh Charging Dock Station, Powerful Sound (not include dot 3rd)",193,0,Argentina,100,31,https://www.lazada.sg/products/ggmm-alexa-speaker-dedicated-for-amazon-echo-dot-3rd-gen-5200mah-charging-dock-station-powerful-sound-not-include-dot-3rd-i897550930-s3118958727.html?search=1
45,Amazon Echo Gen 3,Lazada,Echo (3rd Gen) - Smart speaker with Alexa - Echo Gen 3 Latest Generation - Echo Plus,194.99,4.8,China,1,21,https://www.lazada.sg/products/echo-3rd-gen-smart-speaker-with-alexa-echo-gen-3-latest-generation-echo-plus-i456186248-s1223186868.html?search=1
46,Amazon Echo Gen 3,Lazada,2019 Latest All-new Echo (3rd Gen) - Smart speaker with Alexa,199,0,United States,1,20,https://www.lazada.sg/products/2019-latest-all-new-echo-3rd-gen-smart-speaker-with-alexa-i520038771-s1530564567.html?search=1
47,Amazon Echo Gen 3,QOO10,Brand New Amazon Echo Dot 3rd Gen Smart Speaker with Clock and Alexa. Local SG Stock !!,218,0,China,NA,16,https://www.qoo10.sg/item/BRAND-NEW-AMAZON-ECHO-DOT-3RD-GEN-SMART-SPEAKER-WITH-CLOCK-AND/418853437
48,Amazon Echo Gen 3,Lazada,Cyber Acoustics Portable Alexa Docking Speaker for Amazon Echo Dot 3rd Gen. with Built-in Rechargeable Battery (CA-3710),236.56,0,China,9,18,https://www.lazada.sg/products/cyber-acoustics-portable-alexa-docking-speaker-for-amazon-echo-dot-3rd-gen-with-built-in-rechargeable-battery-ca-3710-i1030662483-s3807418339.html?search=1
49,Amazon Echo Gen 3,QOO10,Amazon Echo (3rd Gen) - Smart speaker with Alexa,250.2,0,China,NA,14,https://www.qoo10.sg/item/AMAZON-ECHO-3RD-GEN-SMART-SPEAKER-WITH-ALEXA/527431795
50,Amazon Echo Gen 3,Shopee,Amazon Echo 3rd Gen,254,NA,United Kingdom,1,21,https://shopee.sg/Amazon-Echo-3rd-Gen-i.289614615.5244271364
51,Amazon Echo Gen 3,Lazada,Amazon Echo (3rd Gen)- Smart speaker with Alexa- Charcoal,271.59,0,United States,9,11,https://www.lazada.sg/products/amazon-echo-3rd-gen-smart-speaker-with-alexa-charcoal-i1030706042-s3807424363.html?search=1
52,Amazon Echo Gen 3,QOO10,Amazon Echo (3rd Gen) - Smart speaker with Alexa,280,0,Malaysia,NA,17,https://www.qoo10.sg/item/AMAZON-ECHO-3RD-GEN-SMART-SPEAKER-WITH-ALEXA/663961729
53,Amazon Echo Gen 3,QOO10,Amazon Echo (3rd Gen) - Smart speaker with Alexa,280,0,China,NA,12,https://www.qoo10.sg/item/AMAZON-ECHO-3RD-GEN-SMART-SPEAKER-WITH-ALEXA/566655855
54,Apple Watch 5,Lazada,40%off 42mm Smart Watch Series 4 Clock Push Message Bluetooth Connectivity For Android phone IOS apple iPhone 5 7 8 X Smartwatch,145.04,0,Mexico,166,235,https://www.lazada.sg/products/40off-42mm-smart-watch-series-4-clock-push-message-bluetooth-connectivity-for-android-phone-ios-apple-iphone-5-7-8-x-smartwatch-i1088164764-s4194252588.html?search=1
55,Apple Watch 5,Lazada,Series 5 44mm Smart Watch with Sport Heart Rate Monitor Smartwatch for Apple iOS iPhone 8 Android Phone Watch,157.3,0,United Kingdom,166,159,https://www.lazada.sg/products/series-5-44mm-smart-watch-with-sport-heart-rate-monitor-smartwatch-for-apple-ios-iphone-8-android-phone-watch-i1088156109-s4194008142.html?search=1
56,Apple Watch 5,Lazada,Carnaval IWO 12 IP68 Waterproof Bluetooth Smart Watch Series 5 44mm 40mm 1:1 Sport Smartwatch For Apple iPhone Android,208.21,0,India,166,181,https://www.lazada.sg/products/carnaval-iwo-12-ip68-waterproof-bluetooth-smart-watch-series-5-44mm-40mm-11-sport-smartwatch-for-apple-iphone-android-i1088120901-s4194062558.html?search=1
57,Apple Watch 5,Lazada,"Compatible with Apple Watch Band 38mm 40mm, Stainless Steel iWatch Band Replacement Strap for Apple Watch Series 5 Series 4 Series 3 Series 2 Series 1 - Rose Gold",228.3,0,China,166,197,https://www.lazada.sg/products/compatible-with-apple-watch-band-38mm-40mm-stainless-steel-iwatch-band-replacement-strap-for-apple-watch-series-5-series-4-series-3-series-2-series-1-rose-gold-i975514276-s3497706587.html?search=1
58,Apple Watch 5,Lazada,LCD Screen and Digitizer Full Assembly for Apple Watch Series 5 44mm,239.05,0,India,120,177,https://www.lazada.sg/products/lcd-screen-and-digitizer-full-assembly-for-apple-watch-series-5-44mm-i999836498-s3641120123.html?search=1
59,Apple Watch 5,Lazada,10PCS Touch Screen Digitizer Panel For Apple Watch Series 1 2 3 4 5 38mm 42mm 40mm 44mm LCD Display Glass Panel Replacement,287.93,0,United States,1130,159,https://www.lazada.sg/products/10pcs-touch-screen-digitizer-panel-for-apple-watch-series-1-2-3-4-5-38mm-42mm-40mm-44mm-lcd-display-glass-panel-replacement-i1159762900-s4556264803.html?search=1
60,Apple Watch 5,Lazada,50%off Smart Watch Series 4 SmartWatch case for apple 5 6 7 iPhone Android Smart phone heart rate monitor pedometor (Red Button),314,0,United States,83,191,https://www.lazada.sg/products/50off-smart-watch-series-4-smartwatch-case-for-apple-5-6-7-iphone-android-smart-phone-heart-rate-monitor-pedometor-red-button-i585962175-s1684110474.html?search=1
61,Apple Watch 5,Lazada,NEW LCD Display For Apple Watch 5 Touch Screen Assembly For Apple Watch Series 5 LCD Series S5 44MM 40MM Pantalla Replacement,317,0,India,83,189,https://www.lazada.sg/products/new-lcd-display-for-apple-watch-5-touch-screen-assembly-for-apple-watch-series-5-lcd-series-s5-44mm-40mm-pantalla-replacement-i1119078165-s4330254655.html?search=1
62,Apple Watch 5,Lazada,LCD Screen and Digitizer Full Assembly for Apple Watch Series 5 40mm,318.29,0,United States,120,161,https://www.lazada.sg/products/lcd-screen-and-digitizer-full-assembly-for-apple-watch-series-5-40mm-i1082100827-s4165330074.html?search=1
63,Apple Watch 5,Lazada,2020 Iwo Pro 2.0 Series 5 Smart Watch T5 Plus 44Mm Heart Rate Bluetooth Call For Apple Ios Android Sport Smartwatch Pk Iwo12 Iwo8,337.79,0,China,166,178,https://www.lazada.sg/products/2020-iwo-pro-20-series-5-smart-watch-t5-plus-44mm-heart-rate-bluetooth-call-for-apple-ios-android-sport-smartwatch-pk-iwo12-iwo8-i919190177-s3237670131.html?search=1
64,Apple Watch 5,Lazada,Iwo 12 Waterproof Smart Watch Phone 5 Series Bluetooth 44 40Mm 1:1 Mtk2502 Smartwatch Iwo12 For Apple Ios Iphone Android,359.29,0,China,166,115,https://www.lazada.sg/products/iwo-12-waterproof-smart-watch-phone-5-series-bluetooth-44-40mm-11-mtk2502-smartwatch-iwo12-for-apple-ios-iphone-android-i813798169-s2711564032.html?search=1
65,Apple Watch 5,Lazada,Watch Bands Compatible with Apple Watch 38mm 40mm 42mm 44mm Soft Silicone Weave Pattern iWatch Bands for Apple Watch Series 5/4/3/2/1,359.96,0,Colombia,166,137,https://www.lazada.sg/products/watch-bands-compatible-with-apple-watch-38mm-40mm-42mm-44mm-soft-silicone-weave-pattern-iwatch-bands-for-apple-watch-series-54321-i987786843-s3574552894.html?search=1
66,Apple Watch 5,Lazada,"Compatible Apple Watch Band 44mm 42mm, Sweatproof Hybrid Genuine Leather and Silicone Sports Watch Band Replacement for iWatch Series 5 4 3 2 1, Brown",378.77,0,United States,166,146,https://www.lazada.sg/products/compatible-apple-watch-band-44mm-42mm-sweatproof-hybrid-genuine-leather-and-silicone-sports-watch-band-replacement-for-iwatch-series-5-4-3-2-1-brown-i986984255-s3566552146.html?search=1
67,Apple Watch 5,Lazada,BolehDeals LCD Front Display Glass Screen Digitizer For Apple Watch Series 5,453,0,Russia,555,193,https://www.lazada.sg/products/bolehdeals-lcd-front-display-glass-screen-digitizer-for-apple-watch-series-5-i1111452861-s4293216254.html?search=1
68,Apple Watch 5,Lazada,"Bands Compatible with Apple Watch 38mm 40mm 42mm 44mm, Slim Thin Narrow Replacement Metal Mesh Sport Accessory Strap Wristband Compatible for iWatch Series 1/2/3/4/5",461.72,0,United States,166,164,https://www.lazada.sg/products/bands-compatible-with-apple-watch-38mm-40mm-42mm-44mm-slim-thin-narrow-replacement-metal-mesh-sport-accessory-strap-wristband-compatible-for-iwatch-series-12345-i988700731-s3582396184.html?search=1
69,Apple Watch 5,Shopee,Apple Watch Series 5 Nike Version 40mm Silver Aluminium GPS Pearl Stainless Steel Nylon Buckle Warranty Valid,490,NA,United States,1,143,https://shopee.sg/Apple-Watch-Series-5-Nike-Version-40mm-Silver-Aluminium-GPS-Pearl-Stainless-Steel-Nylon-Buckle-Warranty-Valid-i.137964850.7554002142
70,Apple Watch 5,Shopee,Apple Watch Series 5 40mm (GPS) Silver Aluminum Case with Black Sport Band | 1 Year Official Warranty,498,5,China,1,199,https://shopee.sg/Apple-Watch-Series-5-40mm-(GPS)-Silver-Aluminum-Case-with-Black-Sport-Band-1-Year-Official-Warranty-i.223570.4333283036
71,Apple Watch 5,Shopee,Apple Watch Series 5 (GPS) 44mm BRAND NEW IN SEALED BOX,499,NA,Canada,3,158,https://shopee.sg/Apple-Watch-Series-5-(GPS)-44mm-BRAND-NEW-IN-SEALED-BOX-i.292762456.3356188378
72,Apple Watch 5,Shopee,APPLE WATCH SERIES 5 40(MM) & 44 (MM)/ SECOND,499.85,NA,China,56,142,https://shopee.sg/APPLE-WATCH-SERIES-5-40(MM)-44-(MM)-SECOND-i.221473523.3616099557
73,Apple Watch 5,Shopee,APPLE WATCH SERIES 5 - 40mm / 44mm Aluminium Case - Used Conditions 95% Above,532.72,NA,China,16,172,https://shopee.sg/APPLE-WATCH-SERIES-5-40mm-44mm-Aluminium-Case-Used-Conditions-95-Above-i.301736116.3952939806
74,Apple Watch 5,Shopee,APPLE WATCH SERIES 5 40MM/44MM GPS/GPS+CELL (NEW/SECONDHAND),544.1,NA,China,37,110,https://shopee.sg/APPLE-WATCH-SERIES-5-40MM-44MM-GPS-GPS-CELL-(NEW-SECONDHAND)-i.190963576.3116649219
75,Apple Watch 5,Lazada,Apple Watch series 5,550,0,China,10,99,https://www.lazada.sg/products/apple-watch-series-5-i1115862879-s4315504272.html?search=1
76,Apple Watch 5,Shopee,Apple Watch Series 5 Gold 44mm,550,NA,China,1,136,https://shopee.sg/Apple-Watch-Series-5-Gold-44mm-i.201759203.7957493608
77,Apple Watch 5,QOO10,Apple Watch<U+0001F525> New Series 6 / SE / 5 / 3<U+0001F525> Apple Watch Series 6 / SE (GPS) Sport Band Smartwatch/ 1Year Warranty,559,5,United States,NA,128,https://www.qoo10.sg/item/APPLE-WATCH-NEW-SERIES-6-SE-5-3-APPLE-WATCH-SERIES-6-SE-GPS-SPORT-BAND-SMARTWATCH/644400067
78,Apple Watch 5,Shopee,Original Used Apple Watch Series 5 (GPS) 40mm/44mm,564.02,NA,Thailand,1,153,https://shopee.sg/Original-Used-Apple-Watch-Series-5-(GPS)-40mm-44mm-i.193460124.6031296067
79,Apple Watch 5,Lazada,Apple Watch Series 5,568,0,China,4,107,https://www.lazada.sg/products/apple-watch-series-5-i852132800-s2916678391.html?search=1
80,Apple Watch 5,Shopee,"Apple Watch Series 5 (GPS, 40mm)",570,NA,China,10,136,https://shopee.sg/Apple-Watch-Series-5-(GPS-40mm)-i.130724068.7611190453
81,Apple Watch 5,Shopee,"Apple Watch Series 5 (GPS, 40mm)",570,NA,Chile,10,115,https://shopee.sg/Apple-Watch-Series-5-(GPS-40mm)-i.130724068.5711194323
82,Apple Watch 5,Shopee,"Apple Watch Series 5 Black (GPS, 40 mm)",575,NA,Brazil,10,130,https://shopee.sg/Apple-Watch-Series-5-Black-(GPS-40-mm)-i.130724068.3211358746
83,Apple Watch 5,Lazada,"Compatible with Apple Watch Band, Upgraded Stainless Steel Link Bracelet Band with Butterfly Clasp for Apple Watch Series 5/4/3/2/1 (Black, 44mm/42mm)",577.82,0,China,166,167,https://www.lazada.sg/products/compatible-with-apple-watch-band-upgraded-stainless-steel-link-bracelet-band-with-butterfly-clasp-for-apple-watch-series-54321-black-44mm42mm-i987050655-s3567060444.html?search=1
84,Apple Watch 5,Shopee,LOCAL WARRANTY SET- Apple Watch Series 5 40mm LTE(Sport Band),580,5,China,1,111,https://shopee.sg/LOCAL-WARRANTY-SET-Apple-Watch-Series-5-40mm-LTE(Sport-Band)-i.998058.7208952036
85,Apple Watch 5,Shopee,Apple watch series 5 40mm space grey | GPS+ Cellular,580,NA,China,2,92,https://shopee.sg/Apple-watch-series-5-40mm-space-grey-GPS-Cellular-i.36501223.6352662562
86,Apple Watch 5,EZBUY,"Apple Watch Series 5 GPS with Sport Band - 40mm (Space Gray, Gold, Silver)",583.37,NA,Japan,NA,128,https://ezbuy.sg/product/432838852.html?keywords=Apple%20watch%20series%205&baseGpid=432838851&pl=1&ezspm=1.20000000.22.0.0
87,Apple Watch 5,Shopee,Apple Watch Series 5 Smartwatch GPS,590.44,NA,Brazil,20,132,https://shopee.sg/Apple-Watch-Series-5-Smartwatch-GPS-i.215541194.6914096445
88,Apple Watch 5,Shopee,APPLE WATCH SERIES 4/5 GPS+CELL 40MM/ 44MM NEW SET,597.25,NA,China,4,112,https://shopee.sg/APPLE-WATCH-SERIES-4-5-GPS-CELL-40MM-44MM-NEW-SET-i.214014904.5213521562
89,Apple Watch 5,Shopee,s Apple Watch series 5 100 % original used(40mm-44mm),598.31,NA,Brazil,2,130,https://shopee.sg/s-Apple-Watch-series-5-100-original-used(40mm-44mm)-i.225339651.7943857159
90,Apple Watch 5,Shopee,Apple Smartwatch Series-5 (44MM),602.76,NA,Vietnam,5,97,https://shopee.sg/Apple-Smartwatch-Series-5-(44MM)-i.219961062.5452817937
91,Apple Watch 5,Shopee,Apple Watch series 5 40mm / 44mm Smartwatch,609,NA,China,25,119,https://shopee.sg/Apple-Watch-series-5-40mm-44mm-Smartwatch-i.163791336.6117268276
92,Apple Watch 5,QOO10,Apple Watch series 5 (GPS) / LOWEST PRICE / APPLE / WATCH /,609,1,China,NA,117,https://www.qoo10.sg/item/APPLE-WATCH-SERIES-5-GPS-LOWEST-PRICE-APPLE-WATCH/674481297
93,Apple Watch 5,Shopee,Apple Watch Series 5 40mm Nike + Space Gray Black Nike Sport Band,620.54,NA,China,1,138,https://shopee.sg/Apple-Watch-Series-5-40mm-Nike-Space-Gray-Black-Nike-Sport-Band-i.267751571.4036600709
94,Apple Watch 5,Shopee,Apple Watch Series 5 S 5 Gps+action Network,629.51,NA,United States,2,108,https://shopee.sg/Apple-Watch-Series-5-S-5-Gps-action-Network-i.296263964.4349699501
95,Apple Watch 5,EZBUY,Apple Watch Series 5 GPS with Pink Sport Band - 40mm - Gold,631.75,NA,China,NA,111,https://ezbuy.sg/product/433359821.html?keywords=Apple%20watch%20series%205&baseGpid=433359820&pl=1&ezspm=1.20000000.22.0.0
96,Apple Watch 5,EZBUY,Apple Watch Series 5 GPS with White Sport Band - 40mm - Silver,631.75,NA,United States,NA,89,https://ezbuy.sg/product/433359768.html?keywords=Apple%20watch%20series%205&baseGpid=433359767&pl=1&ezspm=1.20000000.22.0.0
